epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.00397,2.28687,3.45769,1.49909,0.01333,1,0.02553,0.01157,1.37154,3.0115,1.17283,0.049016,1.6e-05,1.6e-05
2,9.2981,1.92802,3.26958,1.51363,0.01333,1,0.04555,0.02935,1.44225,2.89145,1.17527,0.04754,3.99847e-05,3.99847e-05
3,12.2999,1.91844,3.21897,1.25542,0.01333,1,0.08149,0.05556,1.61333,2.88331,1.19859,0.0460639,6.39021e-05,6.39021e-05
4,15.3996,2.09038,3.12779,1.40713,0.01333,1,0.05826,0.03501,1.59603,2.87801,1.183,0.0445877,8.76975e-05,8.76975e-05
5,19.7959,1.84592,2.92905,1.20113,0.01333,1,0.03748,0.01819,1.60399,2.88225,1.21002,0.0431113,0.000111316,0.000111316
6,22.6038,1.82575,2.77684,1.27587,0.01333,1,0.04622,0.01905,2.00086,2.92569,1.35998,0.0416347,0.000134704,0.000134704
7,26.0533,1.58031,2.57314,1.15756,0.01333,1,0.17087,0.04392,2.13148,2.98432,1.55091,0.0401578,0.000157807,0.000157807
8,30.157,1.7817,2.63093,1.268,0.01,0.75,0.22399,0.05799,2.24161,3.01735,1.66254,0.0386806,0.000180574,0.000180574
9,32.9856,1.70095,2.45395,1.17216,0.01,0.75,0.22399,0.05799,2.24161,3.01735,1.66254,0.037203,0.000202951,0.000202951
10,36.2914,1.83486,2.47671,1.25,0.00667,0.5,0.11295,0.03133,2.47504,3.07315,1.78701,0.0357249,0.000224888,0.000224888
11,39.4544,1.73802,2.20063,1.16848,0.00667,0.5,0.11295,0.03133,2.47504,3.07315,1.78701,0.0342463,0.000246335,0.000246335
12,43.4484,1.91345,2.30666,1.24839,0.01,0.75,0.3738,0.0827,2.42131,2.99001,1.76086,0.0327672,0.000267243,0.000267243
13,46.3178,1.75944,2.11514,1.18563,0.01,0.75,0.3738,0.0827,2.42131,2.99001,1.76086,0.0312876,0.000287566,0.000287566
14,49.4424,1.58113,1.97968,1.11968,0.01,0.75,0.38899,0.18877,2.20593,3.0155,1.53983,0.0298073,0.000307257,0.000307257
15,53.1408,1.53927,1.90318,1.11635,0.01,0.75,0.38899,0.18877,2.20593,3.0155,1.53983,0.0283263,0.000326272,0.000326272
16,56.2458,1.54042,1.81661,1.11097,0.01,0.75,0.38899,0.18877,2.20593,3.0155,1.53983,0.0268446,0.00034457,0.00034457
17,59.8548,1.76943,2.37243,1.36455,0.01333,1,0.68375,0.20827,2.2869,2.95763,1.51848,0.0253621,0.000362109,0.000362109
18,62.4485,1.7084,1.83656,1.16434,0.01333,1,0.68375,0.20827,2.2869,2.95763,1.51848,0.0238789,0.000378851,0.000378851
19,65.7492,1.55032,1.70926,1.14141,0.01333,1,0.68375,0.20827,2.2869,2.95763,1.51848,0.0223948,0.00039476,0.00039476
20,67.3074,1.72182,1.90588,1.19809,0.01333,1,0.995,0.36461,1.96862,2.70773,1.36707,0.0209098,0.000409802,0.000409802
21,68.3349,1.55817,1.61858,1.1207,0.01333,1,0.995,0.36461,1.96862,2.70773,1.36707,0.0194239,0.000423944,0.000423944
22,69.2538,1.63902,1.96095,1.22748,0.01333,1,0.995,0.36461,1.96862,2.70773,1.36707,0.0179372,0.000437156,0.000437156
23,70.2937,1.65106,2.03087,1.18891,0.01333,1,0.995,0.36461,1.96862,2.70773,1.36707,0.0164494,0.000449413,0.000449413
24,71.411,1.70728,1.88089,1.19542,0.01,0.75,0.6838,0.37836,1.8492,2.51211,1.30531,0.0149607,0.000460688,0.000460688
