epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,679.56,2.00784,5.39629,0.92281,0.25849,0.19259,0.15912,0.08645,1.90683,3.35694,0.87407,0.000331551,0.000331551,0.000331551
2,1307.75,1.8941,3.24166,0.86932,0.54909,0.25626,0.241,0.12914,1.83092,2.6347,0.86962,0.000651719,0.000651719,0.000651719
3,1842.31,1.86291,2.38016,0.86825,0.4449,0.30718,0.28542,0.16944,1.71812,1.8408,0.85421,0.000958688,0.000958688,0.000958688
4,2367.47,1.79989,1.86645,0.86506,0.51849,0.3395,0.32079,0.18304,1.70109,1.59747,0.85258,0.0009406,0.0009406,0.0009406
5,2893.93,1.7718,1.60172,0.85526,0.58395,0.39026,0.36567,0.2173,1.59817,1.36852,0.83527,0.0009208,0.0009208,0.0009208
6,3420.35,1.70192,1.44687,0.8423,0.53355,0.36396,0.35731,0.20692,1.60868,1.29598,0.83447,0.000901,0.000901,0.000901
7,3950.16,1.73078,1.39517,0.84835,0.57332,0.36093,0.37922,0.23005,1.5874,1.22951,0.84203,0.0008812,0.0008812,0.0008812
8,4488.58,1.66217,1.30549,0.84531,0.63266,0.40036,0.4068,0.24338,1.52925,1.17496,0.82727,0.0008614,0.0008614,0.0008614
9,5013.74,1.69973,1.29883,0.84315,0.6419,0.41861,0.40984,0.24184,1.54619,1.16103,0.82987,0.0008416,0.0008416,0.0008416
10,5542.29,1.63824,1.25023,0.84029,0.63762,0.395,0.42657,0.2588,1.51178,1.12874,0.82331,0.0008218,0.0008218,0.0008218
11,6072.17,1.62788,1.20486,0.83371,0.63941,0.42046,0.43925,0.26984,1.49473,1.10457,0.81956,0.000802,0.000802,0.000802
12,6603.91,1.61347,1.17021,0.83002,0.66184,0.41734,0.45361,0.27574,1.50322,1.03634,0.81577,0.0007822,0.0007822,0.0007822
13,7134.63,1.6133,1.17483,0.82812,0.63724,0.43631,0.45788,0.2799,1.46063,1.04796,0.8194,0.0007624,0.0007624,0.0007624
14,7665.7,1.60031,1.13842,0.83294,0.66501,0.40636,0.45041,0.27817,1.4668,1.0375,0.81893,0.0007426,0.0007426,0.0007426
15,8195.19,1.57296,1.07818,0.82771,0.66612,0.44902,0.47478,0.29114,1.45889,1.00618,0.81476,0.0007228,0.0007228,0.0007228
16,8726.29,1.57703,1.09014,0.81968,0.69651,0.44762,0.47803,0.28895,1.46149,0.9849,0.81303,0.000703,0.000703,0.000703
17,9254.7,1.56524,1.07266,0.82111,0.68982,0.44988,0.48839,0.299,1.45193,0.9737,0.81268,0.0006832,0.0006832,0.0006832
18,9781.79,1.54186,1.03043,0.82012,0.68291,0.45101,0.48546,0.30106,1.41266,0.98715,0.81287,0.0006634,0.0006634,0.0006634
19,10313.4,1.54281,1.04327,0.82024,0.69176,0.44672,0.4867,0.29984,1.4842,0.98141,0.81982,0.0006436,0.0006436,0.0006436
20,10844.5,1.53729,1.02783,0.81804,0.68599,0.47289,0.50216,0.30782,1.43805,0.9343,0.811,0.0006238,0.0006238,0.0006238
21,11371.4,1.50923,1.02228,0.80896,0.65647,0.48275,0.4924,0.3068,1.44491,0.96396,0.81234,0.000604,0.000604,0.000604
22,11902.2,1.50402,0.98833,0.81738,0.70759,0.47378,0.50771,0.31199,1.4088,0.95983,0.81042,0.0005842,0.0005842,0.0005842
23,12433,1.51154,0.99138,0.80891,0.71415,0.47108,0.51214,0.31548,1.41519,0.95753,0.80989,0.0005644,0.0005644,0.0005644
24,12961,1.47262,0.96197,0.81155,0.75047,0.46492,0.51506,0.32148,1.39121,0.90825,0.80589,0.0005446,0.0005446,0.0005446
25,13485.2,1.44427,0.92593,0.80968,0.74073,0.48247,0.52305,0.32826,1.38435,0.88273,0.80393,0.0005248,0.0005248,0.0005248
26,14014.8,1.44756,0.9283,0.81306,0.74216,0.47775,0.51841,0.32174,1.39065,0.91846,0.80581,0.000505,0.000505,0.000505
27,14546.3,1.50082,0.94535,0.80451,0.73197,0.47497,0.52919,0.33393,1.37438,0.88116,0.80526,0.0004852,0.0004852,0.0004852
28,15078.1,1.45201,0.93933,0.81118,0.71721,0.47314,0.5193,0.32628,1.3755,0.91297,0.80283,0.0004654,0.0004654,0.0004654
29,15607.1,1.42631,0.9124,0.80579,0.73167,0.49173,0.54359,0.34151,1.36457,0.86867,0.80122,0.0004456,0.0004456,0.0004456
30,16137.5,1.42717,0.89825,0.80324,0.73638,0.49485,0.53938,0.34155,1.3434,0.84657,0.80352,0.0004258,0.0004258,0.0004258
31,16670,1.41124,0.8869,0.80686,0.74483,0.47587,0.53318,0.33366,1.37776,0.86103,0.8019,0.000406,0.000406,0.000406
32,17201.6,1.42392,0.8808,0.79853,0.7539,0.48513,0.54942,0.34672,1.33972,0.85574,0.80168,0.0003862,0.0003862,0.0003862
33,17731.7,1.38932,0.85192,0.80252,0.78745,0.47902,0.54249,0.34484,1.34695,0.81656,0.80361,0.0003664,0.0003664,0.0003664
34,18261.9,1.40704,0.85751,0.80334,0.74408,0.50684,0.54792,0.35335,1.31637,0.80792,0.80178,0.0003466,0.0003466,0.0003466
35,18792.8,1.40401,0.84633,0.80315,0.76758,0.48859,0.55371,0.35579,1.33163,0.81823,0.7991,0.0003268,0.0003268,0.0003268
36,19324.7,1.39817,0.84377,0.79679,0.81054,0.4954,0.56231,0.36127,1.30858,0.80588,0.7974,0.000307,0.000307,0.000307
37,19858.2,1.39412,0.83734,0.79991,0.76607,0.49744,0.55315,0.35341,1.32322,0.79127,0.79918,0.0002872,0.0002872,0.0002872
38,20388.7,1.36377,0.81638,0.79889,0.77024,0.50292,0.556,0.35559,1.32201,0.80831,0.79629,0.0002674,0.0002674,0.0002674
39,20927,1.39635,0.82271,0.79468,0.78775,0.49591,0.55414,0.35691,1.30081,0.79412,0.7986,0.0002476,0.0002476,0.0002476
40,21457.6,1.35609,0.80189,0.7937,0.76264,0.49032,0.55207,0.35266,1.31511,0.7989,0.7952,0.0002278,0.0002278,0.0002278
41,21983.5,1.33817,0.7863,0.79447,0.80639,0.4883,0.55298,0.35236,1.30672,0.8012,0.79698,0.000208,0.000208,0.000208
42,22532.1,1.31965,0.76284,0.79212,0.77989,0.5051,0.56126,0.36066,1.31181,0.79937,0.79804,0.0001882,0.0001882,0.0001882
43,23117,1.29292,0.74898,0.7936,0.7521,0.51767,0.55783,0.35743,1.31134,0.79821,0.79676,0.0001684,0.0001684,0.0001684
44,23696.5,1.29526,0.74558,0.78617,0.78911,0.50542,0.56215,0.36203,1.30632,0.78728,0.79574,0.0001486,0.0001486,0.0001486
45,24279.7,1.27625,0.72638,0.79153,0.75217,0.51536,0.56372,0.35892,1.30235,0.78633,0.79596,0.0001288,0.0001288,0.0001288
46,24853.3,1.26694,0.71879,0.7941,0.78973,0.50943,0.56356,0.36404,1.28045,0.77938,0.79685,0.000109,0.000109,0.000109
47,25434,1.25845,0.70869,0.79069,0.78515,0.51878,0.5734,0.36806,1.27946,0.76719,0.79575,8.92e-05,8.92e-05,8.92e-05
48,26012.2,1.2584,0.6953,0.79296,0.77765,0.52069,0.57308,0.3672,1.28004,0.76772,0.7946,6.94e-05,6.94e-05,6.94e-05
49,26595.6,1.26408,0.69857,0.78526,0.77768,0.51657,0.57173,0.36856,1.27698,0.76297,0.7943,4.96e-05,4.96e-05,4.96e-05
