epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.386,0.89706,2.13313,0.97877,0.77345,0.73186,0.76814,0.61284,0.74968,1.90792,0.93307,0.000333073,0.000333073,0.0670258
2,848.183,0.83134,1.86104,0.95819,0.81907,0.75747,0.82487,0.67198,0.70216,1.80024,0.92106,0.000666243,0.000666243,0.0340257
3,1249.26,0.80772,1.78412,0.95267,0.82296,0.75891,0.83165,0.6732,0.68962,1.61853,0.907,0.000998763,0.000998763,0.00102485
4,1648.94,0.77567,1.69853,0.94308,0.83602,0.76644,0.83879,0.68985,0.6633,1.55394,0.90414,0.000997803,0.000997803,0.000997803
5,2049.17,0.75293,1.62903,0.93444,0.84554,0.78871,0.8627,0.71616,0.64244,1.48453,0.90275,0.000996097,0.000996097,0.000996097
6,2448.29,0.73963,1.5952,0.93036,0.85668,0.77312,0.85895,0.70385,0.64766,1.4615,0.90228,0.000993906,0.000993906,0.000993906
7,2847.62,0.72448,1.56029,0.92535,0.83062,0.80267,0.85544,0.71774,0.62808,1.42523,0.8981,0.000991232,0.000991232,0.000991232
8,3247.3,0.71247,1.52723,0.92159,0.85656,0.79602,0.86926,0.72849,0.59825,1.38313,0.88388,0.000988079,0.000988079,0.000988079
9,3647.66,0.7048,1.50893,0.91817,0.8748,0.79728,0.87679,0.73437,0.62361,1.40788,0.88936,0.000984449,0.000984449,0.000984449
10,4047.87,0.69767,1.49131,0.91731,0.85871,0.81946,0.88346,0.75041,0.59634,1.34466,0.88334,0.000980345,0.000980345,0.000980345
11,4447.14,0.69124,1.47224,0.91524,0.84854,0.80837,0.87601,0.74583,0.58737,1.33712,0.87951,0.000975773,0.000975773,0.000975773
12,4847.14,0.68484,1.4562,0.91211,0.85662,0.80803,0.88368,0.75142,0.58829,1.32926,0.8811,0.000970736,0.000970736,0.000970736
13,5247.58,0.67762,1.44029,0.9111,0.85529,0.82891,0.88257,0.75239,0.58611,1.33616,0.88771,0.000965239,0.000965239,0.000965239
14,5647.49,0.67443,1.43307,0.90869,0.85442,0.81712,0.88396,0.75468,0.57613,1.29331,0.87593,0.000959289,0.000959289,0.000959289
15,6047.73,0.67093,1.41667,0.90778,0.88038,0.81738,0.89491,0.7679,0.56897,1.2861,0.87524,0.000952889,0.000952889,0.000952889
